         2044106 function calls (2044077 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 proactor_events.py:726(sock_connect)
        1    0.000    0.000    0.000    0.000 windows_events.py:576(connect)
        1    0.000    0.000    0.000    0.000 pathlib.py:1022(read_text)
      110    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
      107    0.000    0.000    0.000    0.000 events.py:155(cancel)
       50    0.000    0.000    0.000    0.000 client.py:741(<lambda>)
      533    0.000    0.000    0.000    0.000 base_events.py:738(time)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.000    0.000 {built-in method _io.open}
       50    0.000    0.000    0.000    0.000 policy_loader.py:386(get_system_config)
        1    0.000    0.000    0.000    0.000 __init__.py:701(lookup)
        1    0.000    0.000    0.000    0.000 __init__.py:707(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:695(mtime)
        1    0.000    0.000    0.000    0.000 {method 'ConnectEx' of '_overlapped.Overlapped' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:1005(open)
        1    0.000    0.000    0.000    0.000 __init__.py:678(children)
      107    0.000    0.000    0.000    0.000 windows_events.py:459(finish_socket_func)
       53    0.000    0.000    0.000    0.000 streams.py:474(_wakeup_waiter)
      213    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      107    0.000    0.000    0.000    0.000 {built-in method _heapq.heappush}
        3    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       50    0.000    0.000    0.000    0.000 client.py:99(__contains__)
       53    0.000    0.000    0.000    0.000 streams.py:369(drain)
      100    0.000    0.000    0.000    0.000 locks.py:19(__aexit__)
